sample_id,p00011,p00400,conductivity,o2_mgl,DIC,syringe_CO2,DOC,Al,Ca,Fe,K,Mg,Mn,SiO2,Cl,Br,PO4,SO4,C13_DIC,alkalinity
13344,19.67,6.08,160,7.86,934.6263511,335.8476217,1.3,2,9.6,13,2.2,8.3,4.3,13,3.332225328,0.085794592,0,44.28967239,-17.62474797,398.029
13345,25.18,6.38,120,6.8,1093.959282,268.9330633,1.4,2,7.4,25,2,6.3,41,9.9,2.402071388,0.074316467,0,23.65828999,-15.70877647,539.478
13346,28.92,7.6,81,10.91,338.7950885,16.8709605,3.3,2,4.7,27,1.2,3.7,2.4,5.3,3.341065984,0,0.414938409,18.65978931,-3.532941715,254.256
13347,21.96,7.01,42,10.95,418.8914174,43.37341039,1.8,13,2.8,360,0.5,1.2,7.6,12,1.914799711,0,0,0.903885905,-11.45958897,276.783
13348,27.1,7.16,197,10.06,884.7695116,61.20444862,,2,10,44,3,9.5,26,6.2,8.107720576,0.081314818,0,20.26183387,-11.886813,626.823
13349,23.75,7.16,197,9.85,982.3667622,73.30601326,1.9,5,12,3.5,2.6,11,1.5,11,1.7872787,0,0,8.970183742,-13.24822157,705.494
13350,22.78,7.28,46,11.13,503.778872,33.16163728,2.6,8,3.4,521,0.61,1.4,11,13,1.796361685,0,0,1.035869485,-12.15092147,348.195
13351,29.28,7.18,301,10.95,2492.076442,154.4971873,3.9,10,25,191,3.4,12,382,6.5,20.60029065,0.120212097,0,36.99893468,-11.35300751,1625.695
13352,20.54,6.77,33,10.81,372.4997155,62.12593899,2.6,23,2.3,616,0.4,0.94,15,12,1.24457823,0,0,0.929221346,-13.21154677,230.482
13353,27.2,7.44,80,10.77,301.0934562,10.92867069,2.3,16,6.3,9,0.73,3.2,0.91,2.4,1.688469447,0,0,18.43442771,-4.036858487,270.012
13354,26.59,7.62,23,10.16,157.7235544,20.24067322,3.3,6,2.4,219,0.31,0.58,11,1.5,0.463636234,0,0,3.2824353,-2.882225938,104.921
13355,22,7.09,37,10.72,432.7236855,49.81691521,2.5,12,2.6,344,0.46,1.2,8.6,12,0.600544973,0,0,0.28372614,-12.71561363,263.626
13356,21.31,6.87,32,11.76,247.993883,38.37701206,2.9,28,1.5,412,0.28,1.1,11,8.3,3.767061712,0,0,0.581648049,-11.46343109,154.025
13357,31.12,7.97,122,10.6,794.8708245,19.38160969,7.6,73,7,68,2.5,3.2,18,4.3,10.81183243,0.080673704,0,8.276334917,-1.147083661,527.499
13358,25.46,5.7,52,4.81,404.5851399,221.3193029,9.7,232,1.5,3298,1.2,1.3,184,8.8,7.585272817,0.090054645,0,3.558810171,-14.54720814,88.45
13359,29.37,7.6,52,10.83,456.6565931,10.6051753,4.5,2,3.6,327,0.56,1.8,12,8.7,1.900785551,0,0,2.119099428,-4.873293467,363.519
13360,28.9,6.2,24,5.2,293.6572708,134.9743892,6.9,50,1,825,0.62,0.53,13,2.9,2.283473413,0.058115525,0,0.705874073,-11.66791183,77.965
13361,24.02,6.71,268,0.49,1191.392683,441.8537279,13.8,90,18,1427,0.57,1.4,38,11,2.163072368,0.070036386,0,4.592836742,-16.98301378,511.19
13362,24.33,6.1,77,2.64,892.7556785,452.0084944,14.8,85,4.9,1993,2.4,2.6,410,6.8,9.089942394,0.090589276,0,0.92797504,-16.7946999,338.511
13363,26.9,6.56,140,1.58,1427.439364,231.2788848,14.4,71,17,1645,0.57,1.2,157,5.5,11.56598999,0.105366889,0,2.10804327,-12.08944752,868.088
13364,24.06,5.31,33,6.95,254.3087935,165.6838873,11.7,209,0.96,973,0.46,0.88,64,9.9,4.907517207,0.070703355,0,0.954843305,-18.33863423,33.124
13453,23.67,3.48,99,4.4,448.3485629,341.270023,65,1047,1.2,1180,0.15,0.56,12,6.9,6.452185584,0.07687172,0,1.009557027,-22.64957011,
13454,20.9,7.04,18,9.47,203.3544421,12.57201643,1.1,15,1.2,35,0.43,0.46,3.1,8.5,0.350326658,0,0,0.370462786,-7.475358211,130.711
13455,24.55,4.02,65,6.19,313.8400601,213.8194496,57.2,888,3.2,1225,0.082,0.7,8.5,6.5,2.491090736,0,0,0.419598618,-18.60688421,
13456,24.5,3.85,74,5.66,313.7891641,216.6159289,63.6,1006,3.3,1321,0.1,0.6,10,7.9,6.465641333,0.082569438,0,0.91070495,-20.31907355,
13457,32.63,6.52,85,6.06,460.3959122,12.77956706,10.6,16,3.2,249,3,2.4,3.2,0.4,1.93960159,0,0,0.179352419,-5.78612181,
13459,22.81,6.93,23,8.8,249.4010917,16.54653213,1.3,18,1.5,75,0.59,0.52,4.3,11,0.825586527,0,0,0.664652399,-9.282428008,173.389
13460,25.19,3.69,73,5.18,328.6945158,242.4866839,56.8,891,1.9,1106,0.095,0.54,8.2,5.7,4.588122153,0.067621382,2.034507156,0.597897976,-21.7739904,
13461,24.59,5.67,75,4.93,763.8505518,459.4159698,55.2,669,11,1097,0.027,2,6.9,7,8.792065939,0.073204706,0.2482109,0.881753939,-20.17175062,249.587
13462,28.76,4.93,93,4.17,238.8600769,163.3901082,32.3,412,2.6,1013,0.52,2,43,0.64,13.80697398,0.117430658,0,8.659474016,-21.69854509,-2.612
13464,28.91,7.1,132,4.57,1022.990652,184.5957218,13.8,5,10,297,4.8,4.3,4.5,3.8,14.39214649,0.099594669,0,3.0464785,-7.663073322,674.256
13501,17.12,6.76,14,9.1,160.3009583,19.96622881,0.9,15,0.9,18,0.37,0.35,1.5,7.8,0.143940893,0,0,0.145182399,-8.71631195,95.034
13502,22.12,6.88,18,8.26,227.7156343,31.73226212,1,19,1.2,67,0.52,0.42,4.2,9.9,0.408875988,0,0,0.326377121,-8.457110146,136.412
13503,18.98,6.93,18,8.68,,,1.3,10,1.5,17,0.4,0.47,1.7,7.8,0.366120457,0,3.483280687,0.660952723,-9.078442577,245.043
13504,19.2,6.57,11,8.88,120.4489242,18.84410308,1,12,0.64,22,0.29,0.32,1.4,6.6,0.174173296,0,0,0.182751225,-6.127342147,73.82
13505,17.6,6.87,13,8.8,163.896064,26.15389398,0.8,11,0.84,23,0.32,0.37,2.9,7.5,0.291546038,0,0,0.421842337,-8.822898658,93.17
13510,29.51,7.44,61,7.81,503.2488955,8.423426234,3,11,4.7,3.5,1.4,1.7,0.32,5.2,3.947458512,0,0,2.624523848,-2.512487981,414.759
13512,21.67,6.93,45,7.65,542.4620524,77.84173881,1.3,9,2.5,144,0.83,1.1,22,21,1.674853187,0.060075002,0,0.568067383,-15.22246047,431.191
13513,21.27,6.57,22,7.77,243.471822,52.55252336,1.5,30,1.5,80,0.61,0.5,8.6,8.5,0.949229889,0,0,1.095452459,-10.53726228,143.603
13514,22.63,6.39,74,7.36,,,1.8,17,4.1,268,1.2,0.79,105,11,9.477305207,0.06137725,0,3.965096078,-17.22941054,276.183
13515,16.94,6.83,17,8.69,175.65307,19.4611031,1,10,1.6,8,0.34,0.31,0.31,6.9,0.486677468,0,0,1.40714632,-7.398041628,108.351
13516,26.47,7.49,16,7.56,206.1465205,26.71666024,1.2,7,1.1,9,0.34,0.42,0.57,5.3,1.130965424,0,0,0.747799821,-2.697257198,111.492
13518,18.5,6.83,20,8.43,162.2981216,24.06362506,1.2,9,1.9,3.5,0.36,0.37,0.42,7,0.489159326,0,0,1.340463657,-8.053271922,148.624
13519,29.11,6.77,46,7.04,,,3.7,3,1.6,51,1.4,1.3,8.6,7,4.171904137,0.05534476,0,1.832892744,-5.026728371,254.438
13520,19.87,6.06,55,3.67,,,1.1,12,2.4,3643,0.98,1.1,142,21,2.756302963,0.057705444,0,0.64282906,-22.30084334,
13521,19.4,5.69,43,2.98,,,1,13,1.5,2011,0.76,0.41,247,13,2.866406541,0.079852747,0,0.911836519,-22.39157299,
13522,22.9,7,76,,830.1335365,81.82414683,1.5,15,6.2,431,1.5,1.9,95,24,2.559365847,0.059905954,0,0.944789445,-13.63139689,625.987
13523,22.91,6.37,93,5.67,,,2,26,6.4,116,1.8,0.76,90,9.8,10.92972419,0,0.415846783,2.523058938,-16.63627177,436.988
13607,25.61,7.71,265,5.69,4436.961165,121.4483801,2.1,8,57,20,0.84,2.5,34,12,3.158445607,0.071518003,0,2.540222972,-10.41100107,3107.345
13608,27.62,8,30,7.13,353.5138387,33.87935165,2.4,33,2.3,14,0.9,1.3,2.1,3.9,1.432375716,0,0,2.457274315,-4.780187012,233.655
13610,27.91,7.7,79,7.12,743.3481596,39.98234339,4.1,9,9.2,19,1.6,1.6,1.4,1.4,2.994687266,0,0,4.750671343,-4.157447058,541.911
13612,22.83,8.03,249,7.58,4192.786208,66.37288572,2.1,8,46,3.5,0.69,6.5,4.2,8,2.3752191,0,0,4.483698233,-13.3344727,2949.956
13613,21.1,7.98,218,9.24,3664.461447,51.01717,1.2,21,44,3.5,0.61,3.5,0.27,8.2,1.65501637,0.16014085,0.176092941,3.267176555,-11.8833558,2583.209
13614,17.49,8.22,225,10.38,3365.301677,35.35077297,1.2,17,47,12,0.67,4.9,1.5,9.4,3.682485337,0.070785423,0,3.142661408,-13.48724318,2649.441
13615,27.52,7.48,86.9,6.97,744.4164556,27.38925378,4.1,166,5.1,409,2.5,2,45,6.3,5.796539484,0.089994175,0,1.95955158,-6.50592584,575.132
13617,19.68,7.35,237,7.01,4190.662524,235.3419649,1.1,20,44,3.5,0.65,6.8,1,8.5,1.995172241,0,0,3.330290905,-13.89071136,2816.346
13618,29.57,8.41,207,8.78,2010.627261,4.734846793,3.4,18,21,40,1.7,6.2,22,3.7,9.166762717,0.080040874,0,10.45244357,-5.780037927,1568.242
13620,22.87,8.28,246,9.9,3779.061278,34.03448977,1.5,14,50,3.5,0.7,7.2,1.7,9,2.546867767,0,0,4.685144579,-12.25595562,2951.01
13621,29.56,8.97,126.9,10.68,1069.37997,-7.607898128,7.9,80,7.5,206,2.7,5.7,280,13,5.88377661,0,0,1.169825622,2.421618597,996.322
13622,21.35,8.15,210,8.79,3406.03266,33.0162395,1.2,12,41,3.5,0.62,5.3,1.6,8.2,1.986794622,0,0,2.658760008,-11.5452738,2502.65
13623,23.55,7.96,223,7.35,3552.596062,154.7018204,1.1,7,40,3.5,0.74,6.8,2.4,8.6,2.173686539,0,0,3.672047612,,2580.918
